name,email,age,zipcode,gender,password,street,major
Ila Emmerich,ie2276@nittany.edu,20,6059,M,rzhtvxf3,361 E. Sierra Street ,CMPEN
Ewald Koelpin,ek4881@nittany.edu,19,32789,F,7sgf01vp,185 E. Trenton Street ,CHEM
Gerard Jakubowski DDS,gj5319@nittany.edu,18,62548,F,20u4p5x8,461 Heather Street ,ECON
Domingo Gulgowski,dg3660@nittany.edu,18,80302,F,4qtlequ2,18 Lakeview Street ,IST
Emmie Mosciski,em6584@nittany.edu,19,52156,F,rj6abnmm,182 Spring Street ,MATH
Dr. Buster Beahan,db1016@nittany.edu,22,62928,F,qqnuxtqz,3 North Linden Ave. ,CMPSC
Gilberto Legros,gl1897@nittany.edu,21,85626,F,nwu9w5mv,119 Harvey Street ,CSE
Dr. Ashton Stehr,da1878@nittany.edu,22,72360,M,ucsw5qmf,9659 Rosewood Drive ,CMPEN
Elbert Davis,ed7159@nittany.edu,22,51577,M,nfl28k41,285 Dogwood Drive ,CMPSC
Gardner Rippin,gr5445@nittany.edu,21,46974,M,3nsynvz6,9420 Tallwood Street ,EE
Floy Koss,fk6517@nittany.edu,20,80744,F,4pvvl7p1,8985 Cambridge Ave. ,CSE
Elvera Auer Jr.,ea7463@nittany.edu,21,60511,F,cf5aejxt,78 South Brewery Ave. ,IST
Dolores Ledner,dl7664@nittany.edu,19,67490,F,9s8t276n,963 Court Road ,CSE
Dr. Karelle Koss,dk5949@nittany.edu,20,30097,M,69gexir6,88 Harrison Street ,PHYS
Derick O'Hara,do9924@nittany.edu,22,51442,M,70pipr2e,120 Heritage Lane ,PHYS
Ella Waelchi,ew2287@nittany.edu,20,92113,F,poakps30,8985 Cambridge Ave. ,PHYS
Dorothy Wunsch,dw8054@nittany.edu,21,61761,F,apbb4k6x,655 East Branch Dr. ,CMPEN
Friedrich O'Kon II,fo7818@nittany.edu,18,66091,F,5z1mvehd,55 Hall St. ,MATH
Dortha Ondricka,do2791@nittany.edu,19,62633,M,ew3xk7ww,120 Heritage Lane ,PHYS
Dr. Leilani Purdy,dl2872@nittany.edu,22,32168,M,hr9gvnwp,9420 Tallwood Street ,ECON
Hayden Conn,hc9512@nittany.edu,19,95459,F,l9uczvs1,361 E. Sierra Street ,EE
Frank Williamson,fw9529@nittany.edu,21,30105,F,idkbon4x,461 Heather Street ,IST
Fausto Bernhard III,fb6120@nittany.edu,22,47926,F,hod33g2g,7450 West Manchester Street ,STAT
Ethan Johnston,ej6416@nittany.edu,18,80910,M,xgzmz7gb,91 S. Gartner Street ,IST
Gretchen Spinka I,gs5261@nittany.edu,20,95553,F,im9dpro0,18 Lakeview Street ,IST
Hayden Schroeder,hs3812@nittany.edu,19,94103,M,yr2i3klq,91 S. Gartner Street ,CMPEN
Erin Reilly II,er9643@nittany.edu,22,95324,M,x50p3uzk,119 Harvey Street ,DS
Garett Balistreri,gb9073@nittany.edu,22,30820,M,miklog0x,963 Court Road ,PHYS
Earl Harvey,eh3135@nittany.edu,19,46721,M,3bhnzahn,182 Spring Street ,MATH
Darrel Schmitt,ds7254@nittany.edu,20,52801,F,lnjgs77d,361 E. Sierra Street ,CHEM
Deshawn Williamson,dw8693@nittany.edu,20,62682,M,abcfoz4u,232 W. Homewood Ave. ,CHEM
Edmond Beatty,eb5700@nittany.edu,22,95060,M,i9hg2u5p,8985 Cambridge Ave. ,CHEM
Garrison Brekke,gb8971@nittany.edu,20,90401,F,jl6pbnsl,9408 Anderson Court ,CSE
Eddie Botsford II,eb9702@nittany.edu,21,32568,M,5sq8neye,232 W. Homewood Ave. ,MATH
Fabian Murphy,fm5811@nittany.edu,20,61231,F,ncm9m5oz,185 E. Trenton Street ,ECON
Iliana Little,il8896@nittany.edu,19,47386,F,hh2csxcn,266 Second Street ,IST
Elsa Bernhard,eb7897@nittany.edu,22,62023,M,86efj62b,55 Hall St. ,CSE
Gabrielle Bednar I,gb9628@nittany.edu,18,32327,M,ixot9bd0,7313 Stillwater Lane ,CSE
Eula Lockman,el2162@nittany.edu,22,80525,M,meze5wgr,182 Spring Street ,CHEM
Dr. Zachary Corwin,dz1220@nittany.edu,20,92021,M,0q4zrpw7,91 S. Gartner Street ,DS
Earline Mitchell,em9606@nittany.edu,22,50538,M,zigib19y,780 East Redwood Drive ,STAT
Dr. Devante Ritchie,dd7048@nittany.edu,21,61479,F,919nl0rg,182 Spring Street ,EE
Harvey Becker,hb4427@nittany.edu,18,67843,F,szlotcme,120 Heritage Lane ,CMPSC
Desiree Ullrich,du5385@nittany.edu,19,62243,F,958ncrhf,495 Jockey Hollow Ave. ,DS
Delilah Osinski,do7088@nittany.edu,19,51058,M,vtsv9lap,7130 Longfellow Dr. ,PHYS
Hilbert Hagenes,hh4615@nittany.edu,22,61465,M,1jrl9g2g,251 West Sheffield Drive ,CHEM
Gerardo Lindgren,gl1181@nittany.edu,19,72342,F,36w1lq62,182 Spring Street ,CSE
Dr. Sydnie Jacobi,ds7549@nittany.edu,21,60462,M,4f0t44o5,78 South Brewery Ave. ,DS
Erik Jakubowski,ej6093@nittany.edu,21,62817,F,6c9w263u,9420 Tallwood Street ,CHEM
Dr. Tomasa Kerluke,dt1755@nittany.edu,21,80011,M,2cqalv1d,4 Old Academy Drive ,CMPEN
Garrison Haag,gh1031@nittany.edu,18,60002,F,64mrwty5,358 Marvon Ave. ,IST
Daphnee Greenfelder,dg9379@nittany.edu,21,60563,M,1ty7j48p,185 E. Trenton Street ,CMPEN
Hiram Quitzon III,hq7130@nittany.edu,21,32801,F,ea1bz0su,708 York Dr. ,PHYS
Dr. Lizeth Brakus,dl8726@nittany.edu,18,72007,F,luzms3yv,8131 Elizabeth Ave. ,CMPEN
Faye Keeling DDS,fk3783@nittany.edu,18,33182,F,ndollp4n,63 Lake Forest Road ,CHEM
Hattie Schmeler,hs3254@nittany.edu,19,86503,M,oolicjki,9408 Anderson Court ,MATH
Esther Gaylord,eg9777@nittany.edu,18,60471,F,nxaztmsb,780 East Redwood Drive ,MATH
Elisa Hahn,eh8403@nittany.edu,18,62867,M,6fbe4n5f,708 York Dr. ,EE
Domenic Grant,dg1041@nittany.edu,21,30143,F,2hraep3u,655 East Branch Dr. ,EE
Eliezer Wilkinson,ew3399@nittany.edu,19,94597,F,j8dbqrn2,639 Princeton Rd. ,PHYS
Domenica Ratke,dr5383@nittany.edu,22,46032,F,33gcwtga,185 E. Trenton Street ,STAT
Ilene Bashirian DVM,ib8603@nittany.edu,19,6785,M,rwnkxe3q,63 Lake Forest Road ,CSE
Estefania Feest,ef2211@nittany.edu,19,72476,F,pcvwpys8,8131 Elizabeth Ave. ,EE
Hillary Satterfield,hs6780@nittany.edu,20,51440,F,k47muh9j,266 Second Street ,CHEM
Dr. Henri Swift,dh7046@nittany.edu,20,32140,M,8ir9plfy,655 East Branch Dr. ,CMPSC
Gwendolyn Luettgen,gl5818@nittany.edu,18,67749,F,p60j3gfp,7764 Union Avenue ,CHEM
Gudrun Rowe,gr4392@nittany.edu,19,52314,F,9elp97f2,308 Mammoth Dr. ,PHYS
Harmony McLaughlin DDS,hm9327@nittany.edu,19,34769,F,ivj4t8l7,361 E. Sierra Street ,CSE
Emmet Rath,er5239@nittany.edu,18,92210,M,lt2o6bz7,608 North Addison St. ,STAT
Ernestine Krajcik,ek3642@nittany.edu,21,80031,M,xq9c6pak,963 Court Road ,ECON
Geovanni Romaguera Jr.,gr4591@nittany.edu,19,62982,M,chgtsi7m,285 Dogwood Drive ,CHEM
Franco Windler,fw2120@nittany.edu,20,20009,F,uu0g93w1,8131 Elizabeth Ave. ,ECON
Filiberto Cole,fc5125@nittany.edu,20,46808,M,x2a4uyte,4 Old Academy Drive ,CHEM
Heaven Howell,hh1524@nittany.edu,20,62324,M,i3vn6szs,55 Hall St. ,CHEM
Devan Gleichner,dg7321@nittany.edu,22,47436,F,bevy1uqk,182 Spring Street ,DS
Deondre Prohaska,dp4783@nittany.edu,18,72838,F,kwxx5jy0,453 North Elm Dr. ,STAT
Gerson Daugherty,gd4593@nittany.edu,20,60955,M,ajy7neci,91 S. Gartner Street ,PHYS
Darien Guªann,dg7987@nittany.edu,19,50604,M,frzsnvre,8131 Elizabeth Ave. ,CMPEN
Gonzalo Rice,gr3326@nittany.edu,19,31830,M,zxgp56he,83 Corona Street ,IST
Dr. Kaitlin Watsica,dk1425@nittany.edu,20,50464,F,r7haxr52,9659 Rosewood Drive ,DS
Fredy Rutherford,fr1588@nittany.edu,22,30607,M,f27vjkmy,336 Myrtle Street ,DS
Henderson Conroy,hc6195@nittany.edu,20,95825,M,l29f8zdu,963 Court Road ,CMPSC
Furman Anderson,fa1972@nittany.edu,22,33406,F,w7whiajz,9236 El Dorado St. ,DS
Flavio Ferry,ff4897@nittany.edu,22,50836,F,tl5jnyof,63 Lake Forest Road ,EE
Gage Jenkins,gj7421@nittany.edu,21,92105,F,5qdetelc,7 Arch Court ,DS
Dr. Keira Walter,dk5850@nittany.edu,18,32784,F,ohh4mwyn,8131 Elizabeth Ave. ,PHYS
Grayce Haag,gh2561@nittany.edu,19,72165,M,x8bxllty,361 E. Sierra Street ,CSE
Golden Schimmel,gs2617@nittany.edu,19,6264,F,c30yd3xc,495 Jockey Hollow Ave. ,IST
Elton Boyle IV,eb3303@nittany.edu,22,51355,F,27nkuhp0,361 E. Sierra Street ,MATH
Dr. Thurman Hudson,dt1653@nittany.edu,21,83210,M,wdsa15ev,608 North Addison St. ,CHEM
Elwin Murazik Sr.,em9510@nittany.edu,20,61956,F,1srrimo3,608 North Addison St. ,EE
Herbert Hansen,hh1856@nittany.edu,20,81125,F,kjzty61o,232 W. Homewood Ave. ,PHYS
Enid Harris,eh6509@nittany.edu,21,6610,M,pudh3q7q,461 Heather Street ,PHYS
Halle Mann,hm8630@nittany.edu,20,34983,F,xkeuvdjo,266 Second Street ,PHYS
Elian Quitzon,eq3640@nittany.edu,19,50147,F,5gopxrcu,8131 Elizabeth Ave. ,EE
Holden Wilderman,hw8828@nittany.edu,19,62325,F,z79z8qv6,55 Hall St. ,ECON
Ena Waelchi,ew8925@nittany.edu,22,46573,M,5lx2bx3y,7297 Applegate St. ,ECON
Enola Kub,ek5867@nittany.edu,21,62092,M,nfqdx36h,9420 Tallwood Street ,DS
Dr. Molly Hoeger,dm6277@nittany.edu,19,32145,F,w3mm2evm,860 Wakehurst Dr. ,CMPSC
Ebba Runte Sr.,er2458@nittany.edu,19,50573,M,38y8b748,361 E. Sierra Street ,MATH
Elyse Wisoky,ew2185@nittany.edu,22,62677,M,y3qo6wcu,266 Second Street ,DS
Gabriella Pfannerstill,gp3361@nittany.edu,21,34243,F,t18b2zrh,4 Old Academy Drive ,PHYS
Dexter Hirthe Jr.,dh7362@nittany.edu,21,6811,M,jzfoezkr,863 Stillwater Road ,STAT
Edward Orn,eo6418@nittany.edu,18,67865,F,18zrf9xy,308 Mammoth Dr. ,CMPSC
Darrel Armstrong,da3247@nittany.edu,18,20053,M,w6w1dk9x,4 Old Academy Drive ,IST
Guiseppe Dooley,gd1891@nittany.edu,19,95726,F,jytu2joh,119 Harvey Street ,IST
Dion Mosciski,dm4287@nittany.edu,18,90270,F,hj4cclt0,182 Spring Street ,IST
Dr. Josiane Herzog,dj4017@nittany.edu,20,34448,F,cg3nnw0w,8378 West Pulaski Ave. ,DS
Dorcas Gorczany,dg3528@nittany.edu,22,90064,F,wqxumezb,7529 Old Sunset Road ,STAT
Ike Weissnat,iw4518@nittany.edu,20,47924,F,1eaym6hq,495 Jockey Hollow Ave. ,STAT
Dayton Swaniawski,ds8193@nittany.edu,19,94938,M,ywux4080,259 Cleveland Road ,CSE
Dolly Schulist,ds2879@nittany.edu,18,61015,M,w5fqnpdm,453 North Elm Dr. ,EE
Hallie Langworth,hl4356@nittany.edu,21,34465,M,fjpasfn0,120 Heritage Lane ,CSE
Deshaun Weissnat,dw5475@nittany.edu,20,83628,M,6wq0yb12,91 S. Gartner Street ,CMPSC
Frederique Torphy,ft1093@nittany.edu,21,32211,M,a9vg5adf,7764 Union Avenue ,DS
Flossie Schoen,fs3719@nittany.edu,19,51443,F,otygfrqd,9236 El Dorado St. ,CSE
Dorris Schulist,ds2224@nittany.edu,21,85137,M,ghv927fv,639 Princeton Rd. ,CMPSC
Edwardo Stokes,es8944@nittany.edu,22,91722,M,ungh3o61,120 Heritage Lane ,ECON
Glennie Turcotte II,gt3176@nittany.edu,21,81019,F,gh7gg5yc,7450 West Manchester Street ,STAT
Dr. Casandra Walsh,dc7489@nittany.edu,21,86333,M,vlcyuyli,3 North Linden Ave. ,CSE
Elenora Kessler,ek7386@nittany.edu,18,33004,M,y17twvre,26 Johnson St. ,IST
Freda Goldner,fg4672@nittany.edu,19,96096,F,vp0hyviy,708 York Dr. ,CHEM
Dante Auer,da2022@nittany.edu,22,71667,M,pjk5uuph,7195 North Canterbury Circle ,MATH
Flavie Stokes,fs1546@nittany.edu,20,33178,M,v2ac62yr,83 Corona Street ,PHYS
Eusebio Wuckert,ew7279@nittany.edu,20,60952,F,tnhnrl2s,26 Johnson St. ,MATH
Hassan Hagenes,hh9927@nittany.edu,18,47920,M,02r32nem,8131 Elizabeth Ave. ,ECON
Gerald Dibbert,gd6812@nittany.edu,19,83827,M,uyv380bs,308 Mammoth Dr. ,CSE
Geraldine Hodkiewicz V,gh4919@nittany.edu,20,95923,M,1kt3b9yp,9420 Tallwood Street ,CMPSC
Horace Bernier,hb6400@nittany.edu,20,60048,M,do9np1uo,361 E. Sierra Street ,CHEM
Dr. Luna Goldner,dl4708@nittany.edu,21,61857,F,8izk0vyb,608 North Addison St. ,DS
Furman Wilkinson,fw1745@nittany.edu,18,95634,M,zqmrasp4,8401 Green Rd. ,CMPSC
Gunnar Bogan,gb6345@nittany.edu,21,95336,M,61ps0ls8,120 Heritage Lane ,CSE
Ervin Davis,ed1041@nittany.edu,22,46764,M,c08ymku9,9599 La Sierra St. ,ECON
Elmira Robel Sr.,er8341@nittany.edu,22,83712,M,sgmnaby3,9236 El Dorado St. ,CMPSC
Erica Jewess,ej3628@nittany.edu,22,34233,F,2h2zgp0u,26 Johnson St. ,PHYS
Garett Shields Jr.,gs3266@nittany.edu,18,20540,M,fkxcd7sb,55 Hall St. ,CMPSC
Dr. Morgan Sanford,dm6239@nittany.edu,20,95742,F,yvon4auv,87 Vermont St. ,CSE
Florida Hoeger,fh7189@nittany.edu,19,67843,M,lbkrizuu,8131 Elizabeth Ave. ,CHEM
Gerda Ritchie,gr1809@nittany.edu,18,71834,M,kov519o8,185 E. Trenton Street ,CMPEN
Henderson Morissette,hm5525@nittany.edu,19,61850,M,pvksy5g9,461 Heather Street ,CMPEN
Eleazar Greenholt,eg7228@nittany.edu,20,95310,M,nfs52rx9,83 Corona Street ,CHEM
Elinore Moen,em2859@nittany.edu,22,92707,M,jtcvb5mi,8687 N. Sleepy Hollow Court ,ECON
Elwyn Gorczany,eg5689@nittany.edu,19,30070,M,kec1tvvq,453 North Elm Dr. ,ECON
Donnie Conn,dc8436@nittany.edu,21,81521,F,30m8mgg8,83 Corona Street ,IST
Eugenia Osinski,eo5933@nittany.edu,19,67671,F,5n7rxat6,55 Hall St. ,ECON
Emanuel Kris,ek2555@nittany.edu,19,6256,F,xuiy7mzm,87 Vermont St. ,ECON
Ida Blanda,ib9263@nittany.edu,21,92003,F,i2dfgepr,860 Wakehurst Dr. ,CHEM
Dr. Lloyd Barrows,dl7100@nittany.edu,20,62201,M,4bkr5n7f,461 Heather Street ,PHYS
Garnett Hessel,gh1212@nittany.edu,22,66869,F,448p81am,9659 Rosewood Drive ,MATH
Darwin Carroll IV,dc3082@nittany.edu,18,60564,F,vak3gwpe,9498 Newport Ave. ,PHYS
Eda Marks,em3990@nittany.edu,18,60532,F,f3e9tv4d,308 Mammoth Dr. ,IST
Doris Koch,dk9439@nittany.edu,18,33815,M,443bieq9,453 North Elm Dr. ,ECON
Greta Schowalter DDS,gs6695@nittany.edu,21,60657,F,i54i8e4r,7313 Stillwater Lane ,MATH
Gayle Pollich,gp6880@nittany.edu,19,19940,M,zktkgfvs,860 Wakehurst Dr. ,CMPSC
Enos Schulist,es9891@nittany.edu,20,91325,F,vb0kg02i,336 Myrtle Street ,CSE
Domenica Schumm,ds2211@nittany.edu,19,50543,F,uwvxra29,8985 Cambridge Ave. ,DS
Eugenia Rath,er2244@nittany.edu,19,46260,M,9gzrg9k4,266 Second Street ,MATH
Dr. Oscar Rath,do8320@nittany.edu,22,32766,F,uo1yl5kn,7529 Old Sunset Road ,DS
Emmett Rodriguez,er6539@nittany.edu,19,50540,F,23fvo5oo,7529 Old Sunset Road ,CMPEN
Dean Sporer,ds2123@nittany.edu,22,60958,F,c7h45b7v,798 North Euclid Drive ,CHEM
Dulce Gulgowski,dg8738@nittany.edu,22,6023,F,xuub6w1z,259 Cleveland Road ,DS
Deondre Rutherford,dr9676@nittany.edu,19,95412,F,d712nupf,88 Harrison Street ,ECON
Ezequiel Ratke,er2818@nittany.edu,21,95490,F,n0a9z5fp,6 Andover Dr. ,PHYS
Gaylord Collins DVM,gc5107@nittany.edu,22,83234,M,ao2yf2ru,7450 West Manchester Street ,DS
Darion Aufderhar II,da8807@nittany.edu,19,50023,M,0cs9xyii,3 North Linden Ave. ,IST
Gladyce Kertzmann,gk3247@nittany.edu,20,96074,F,s52yl1va,26 Johnson St. ,MATH
Hadley Stracke,hs1177@nittany.edu,20,33703,F,xd4a1vbi,7450 West Manchester Street ,CSE
Hattie Boehm,hb7496@nittany.edu,20,95426,M,gbgrtgkb,9659 Rosewood Drive ,EE
Harold Durgan,hd3109@nittany.edu,20,32444,M,x6lpxfnx,798 North Euclid Drive ,CMPSC
Dr. Mariano Collier,dm9701@nittany.edu,18,80264,M,1ekz58ar,266 Second Street ,ECON
Esmeralda Smith IV,es2273@nittany.edu,20,52583,F,s7vf7d8s,9599 La Sierra St. ,MATH
Emiliano McCullough,em7352@nittany.edu,21,61326,F,cdessibr,251 West Sheffield Drive ,CSE
Dr. Reagan Johnston,dr6246@nittany.edu,22,85135,M,fb6id2et,120 Heritage Lane ,CSE
Dianna Wehner,dw2632@nittany.edu,18,62921,M,2uy51mpb,7313 Stillwater Lane ,MATH
Deondre Hagenes,dh1318@nittany.edu,19,31309,M,yytd1q6l,8378 West Pulaski Ave. ,DS
Electa VonRueden,ev8921@nittany.edu,18,62275,F,uv9ce60h,461 Heather Street ,MATH
Gudrun Ward PhD,gw5806@nittany.edu,21,50454,M,4jjj4cp0,453 North Elm Dr. ,IST
Dr. Reva Kuhic,dr3255@nittany.edu,21,30566,F,qenoerax,8131 Elizabeth Ave. ,EE
Deondre Harber,dh3792@nittany.edu,19,83810,F,23b23uk4,285 Dogwood Drive ,ECON
Doris Cremin,dc5453@nittany.edu,22,50271,F,behfw2pz,655 East Branch Dr. ,CSE
Fredrick Howell,fh5083@nittany.edu,22,61606,F,219xa2c5,3 North Linden Ave. ,MATH
Elnora Wilderman,ew8429@nittany.edu,20,92821,F,f3brslrz,7130 Longfellow Dr. ,ECON
Else Batz,eb2377@nittany.edu,21,61345,M,8uxa5m0p,780 East Redwood Drive ,MATH
Forrest Ruecker PhD,fr6216@nittany.edu,19,50222,F,sh44t6ty,7764 Union Avenue ,IST
Eva Blanda,eb9389@nittany.edu,22,93442,F,9x7jrlvr,7450 West Manchester Street ,STAT
Edmond Effertz I,ee6932@nittany.edu,22,52745,F,eegpby2t,608 North Addison St. ,CSE
Etha Romaguera,er9391@nittany.edu,18,31220,F,1pmel9s9,83 Corona Street ,CSE
Dr. Anabel Stoltenberg,da4619@nittany.edu,19,93660,M,dp3zoe6q,232 W. Homewood Ave. ,CHEM
Dolores Runolfsdottir DDS,dr7544@nittany.edu,20,96783,F,1msis5t3,308 Mammoth Dr. ,CMPEN
Eliza Jacobi II,ej7700@nittany.edu,21,86502,F,7e90f7qq,8378 West Pulaski Ave. ,CMPEN
Dr. Foster Langosh,df7770@nittany.edu,21,85027,F,ug376ep9,7529 Old Sunset Road ,STAT
Dr. Sage Smitham,ds5937@nittany.edu,18,52352,M,ajrdjhxl,780 East Redwood Drive ,CSE
Halle Koepp,hk5972@nittany.edu,19,95956,M,coevsfej,285 Dogwood Drive ,PHYS
Darien Gibson,dg6925@nittany.edu,22,33755,M,t03b6hb4,608 North Addison St. ,MATH
Eldon Macejkovic,em9445@nittany.edu,21,72482,M,n26pn5ng,608 North Addison St. ,MATH
Gerry Kuvalis Jr.,gk9861@nittany.edu,19,93022,F,t4vk29f9,7 Arch Court ,MATH
Gregorio Cummings,gc5114@nittany.edu,22,33193,F,9fkl8w6t,266 Second Street ,IST
Dock Johns,dj1479@nittany.edu,18,20260,M,tn9wg74p,655 East Branch Dr. ,EE
Hailee Runolfsson,hr2868@nittany.edu,22,85225,F,ggyn6nh9,358 Marvon Ave. ,ECON
Flossie Bednar,fb4575@nittany.edu,19,80830,F,hkjob0h1,7 Arch Court ,ECON
Dr. Elton Green,de5828@nittany.edu,18,71851,M,to578yi5,8985 Cambridge Ave. ,PHYS
Florian Mante,fm5590@nittany.edu,22,92276,F,52ibosdi,798 North Euclid Drive ,CSE
Frank Ryan,fr8166@nittany.edu,19,46340,F,hwazzxlh,461 Heather Street ,CMPEN
Dr. Lambert Jaskolski,dl6390@nittany.edu,18,81092,M,jy0in5m2,358 Marvon Ave. ,CMPSC
Darlene Flatley,df8189@nittany.edu,22,50039,M,fff7sx3o,9408 Anderson Court ,MATH
